samples,eens_kwh,cvar_kwh,positive_scenarios
577,20.64312412643944,412.8624825287884,7
578,20.60740937881584,412.14818757631645,7
579,20.571817998196124,411.43635996392214,7
580,20.536349346475095,410.7269869295016,7
581,20.501002789940717,410.020055798814,7
582,20.46577769923635,409.31555398472665,7
583,20.430673449323425,408.6134689864681,7
584,20.395689419444444,407.9137883888886,7
585,20.36082499308642,407.2164998617281,7
586,20.326079557944635,406.52159115889236,7
587,20.29145250588681,405.8290501177358,7
588,20.256943232917614,405.1388646583519,7
589,20.222551139143558,404.4510227828708,7
590,20.188275628738232,403.7655125747643,7
591,20.15411610990788,403.0823221981572,7
592,20.12007199485736,402.4014398971468,7
593,20.08614269975642,401.722853995128,7
594,20.052327644706324,401.0465528941261,7
595,20.018626253706817,400.37252507413604,7
596,19.985037954623415,399.700759092468,7
597,19.951562179155037,399.0312435831004,7
598,19.918198362801935,398.36396725603834,7
599,19.884945944833984,397.6989188966793,7
600,19.85180436825926,397.0360873651848,7
601,19.81877307979294,396.37546159585844,7
602,19.785851529826505,395.71703059652975,7
603,19.753039172397273,395.06078344794514,7
604,19.720335465158204,394.4067093031637,7
605,19.687739869348025,393.75479738696015,7
606,19.655251849761644,393.1050369952325,7
607,19.62287087472085,392.4574174944167,7
608,19.590596416045322,391.81192832090613,7
609,19.5584279490239,391.16855898047766,7
610,19.526364952386157,390.5272990477228,7
611,19.494406908274232,389.88813816548435,7
612,19.46255330221496,389.2510660442989,7
613,19.43080362309226,388.6160724618449,7
614,19.399157363119798,387.9831472623956,7
615,19.367614017813914,387.3522803562779,7
616,19.336173085966813,386.72346171933594,7
617,19.304834069620025,386.09668139240017,7
618,19.27359647403812,385.471929480762,7
619,19.242459807682643,384.84919615365254,7
620,19.21142358218638,384.2284716437273,7
621,19.180487312327788,383.6097462465554,7
622,19.149650516005718,382.993010320114,7
623,19.118912714214375,382.3782542842872,7
624,19.088273431018518,381.76546862037003,7
625,19.05773219352889,381.15464387057744,7
626,19.027288531877886,380.5457706375573,7
627,18.996941979195466,379.938839583909,7
628,18.966692071585282,379.3338414317053,7
629,18.936538348101042,378.73076696202054,7
630,18.906480350723104,378.1296070144618,7
631,18.87651762433527,377.53035248670506,7
632,18.84664971670183,376.9329943340362,7
633,18.816876178444797,376.3375235688956,7
634,18.787196563021382,375.7439312604273,7
635,18.757610426701664,375.1522085340329,7
636,18.72811732854647,374.5623465709291,7
637,18.69871683038549,373.9743366077094,7
638,18.669408496795544,373.3881699359105,7
639,18.640191895079116,372.803837901582,7
640,18.611066595243056,372.2213319048608,7
