samples,eens_kwh,cvar_kwh,positive_scenarios
907,3.1270935930050223,62.54187186010039,3
908,3.1236496573299073,62.47299314659809,3
909,3.1202132990710174,62.404265981420295,3
910,3.116784493247864,62.335689864957224,3
911,3.1133632149896338,62.26726429979262,3
912,3.1099494395346,62.198988790691956,3
913,3.1065431422295253,62.13086284459045,3
914,3.103144298529053,62.062885970581,3
915,3.0997528839951443,61.99505767990283,3
916,3.0963688742964592,61.92737748592914,3
917,3.092992245207803,61.85984490415602,3
918,3.089622972609537,61.79245945219069,3
919,3.0862610324870037,61.72522064974002,3
920,3.082906400929951,61.65812801859897,3
921,3.0795590541319817,61.59118108263959,3
922,3.0762189683899743,61.52437936779943,3
923,3.072886120103527,61.45772240207048,3
924,3.069560485774412,61.39120971548818,3
925,3.0662420420060075,61.324840840120096,3
926,3.0629307655027604,61.258615310055156,3
927,3.05962663306964,61.19253266139275,3
928,3.0563296216115896,61.12659243223174,3
929,3.0530397081329994,61.06079416265993,3
930,3.049756869737156,60.99513739474307,3
931,3.0464810836257312,60.92962167251457,3
932,3.453961015665235,69.07922031330463,4
933,3.4502590210075015,69.00518042014997,4
934,3.446564953533192,68.93129907066378,4
935,3.4428787878074854,68.85757575614966,4
936,3.439200498504275,68.78400997008544,4
937,3.4355300604055508,68.71060120811096,4
938,3.4318674484008547,68.63734896801704,4
939,3.4282126374866873,68.56425274973368,4
940,3.4245656027659583,68.49131205531911,4
941,3.420926319447398,68.4185263889479,4
942,3.4172947628450108,68.34589525690016,4
943,3.413670908377519,68.27341816755032,4
944,3.4100547315677963,68.20109463135586,4
945,3.406446208042328,68.1289241608465,4
946,3.402845313530656,68.05690627061306,4
947,3.399252023864836,67.98504047729665,4
948,3.395666314978904,67.91332629957802,4
949,3.392088162908326,67.84176325816647,4
950,3.388517543789475,67.77035087578945,4
951,3.384954433859096,67.69908867718186,4
952,3.3813988094537817,67.62797618907557,4
953,3.3778506470094434,67.5570129401888,4
954,3.374309923060796,67.48619846121585,4
955,3.3707766142408375,67.4155322848167,4
956,3.367250697280336,67.34501394560667,4
957,3.3637321490073155,67.27464298014625,4
958,3.360220946346555,67.20441892693104,4
959,3.3567170663190815,67.13434132638157,4
960,3.3532204860416677,67.06440972083328,4
961,3.349731182726326,66.99462365452645,4
962,3.3462491336798337,66.92498267359663,4
963,3.3427743163032213,66.85548632606435,4
964,3.3393067080912866,66.78613416182567,4
965,3.335846286632126,66.71692573264247,4
966,3.332393029606626,66.64786059213246,4
967,3.3289469147880055,66.57893829576005,4
968,3.3255079200413227,66.5101584008264,4
969,3.322076023323013,66.4415204664602,4
970,3.318651202680413,66.3730240536082,4
971,3.3152334362512863,66.30466872502566,4
972,3.311822702263374,66.23645404526742,4
973,3.3084189790339167,66.16837958067828,4
974,3.3050222449692006,66.10044489938396,4
975,3.301632478564104,66.03264957128202,4
976,3.298249658401641,65.96499316803275,4
977,3.294873763152509,65.89747526305013,4
978,3.291504771574643,65.83009543149281,4
979,3.2881426625127688,65.7628532502553,4
980,3.2847874148979592,65.69574829795914,4
981,3.2814390077471973,65.62878015494388,4
982,3.2780974201629323,65.56194840325858,4
983,3.2747626313326545,65.49525262665303,4
984,3.2714346205284555,65.42869241056906,4
