samples,EENS_kwh,CVaR95_kwh
511,15.39794357469015,307.958871493803
512,15.367869466145834,307.3573893229167
513,15.337912605588045,306.75825211176084
514,15.308072308690013,306.16144617380024
515,15.27834789644013,305.5669579288026
516,15.24873869509044,304.97477390180876
517,15.219244036105739,304.38488072211476
518,15.189863256113256,303.7972651222651
519,15.160595696852923,303.2119139370584
520,15.131440705128206,302.6288141025641
521,15.102397632757517,302.04795265515037
522,15.073465836526182,301.46931673052364
523,15.044644678138942,300.8928935627788
524,15.015933524173029,300.31867048346055
525,14.987331746031746,299.7466349206349
526,19.117099176299114,382.34198352598224
527,19.0808238457938,381.61647691587604
528,19.044685921843435,380.89371843686865
529,19.00868462520479,380.17369250409575
530,18.972819182515725,379.4563836503145
531,18.9370888262398,378.74177652479597
532,18.901492794611528,378.02985589223056
533,18.86603033158224,377.32060663164475
534,18.83070068676654,376.6140137353308
535,18.79550311538941,375.91006230778817
536,18.760436878233833,375.2087375646766
537,18.725501241589075,374.5100248317815
538,18.690695477199505,373.81390954399006
539,18.656018862213976,373.1203772442795
540,18.621470679135804,372.42941358271605
541,18.58705021577326,371.7410043154652
542,18.55275676519065,371.055135303813
543,18.518589625659914,370.3717925131983
544,18.484548100612745,369.6909620122549
545,18.45063149859327,369.01262997186546
546,18.416839133211234,368.33678266422464
547,18.383170323095673,367.66340646191344
548,18.349624391849147,366.99248783698295
549,18.31620066800243,366.3240133600485
550,18.282898484969696,365.65796969939396
551,18.249717181004236,364.9943436200847
552,18.21665609915459,364.33312198309176
553,18.183714587221218,363.67429174442435
554,18.1508919977136,363.01783995427195
555,18.118187687807808,362.36375375615614
556,18.08560101930456,361.7120203860911
557,31.89764063417115,637.952812683423
558,31.84047640364396,636.8095280728792
559,31.783516696302918,635.6703339260583
560,31.72676041648809,634.5352083297619
561,31.67020647635175,633.404129527035
562,31.613853795788845,632.2770759157769
563,31.55770130236826,631.1540260473652
564,31.501747931264774,630.0349586252954
565,31.44599262519174,628.9198525038347
566,31.390434334334508,627.8086866866902
567,31.335072016284535,626.7014403256907
568,31.991354166490606,639.8270833298122
569,31.935130345459868,638.7026069091974
570,31.879103800994148,637.5820760198831
571,31.823273496614124,636.4654699322825
572,31.767638403088572,635.3527680617716
573,31.712197498371143,634.243949967423
574,31.656949767537743,633.138995350755
575,31.601894202724633,632.0378840544928
576,31.547029803067133,630.9405960613426
577,31.49235557463894,629.8471114927787
578,31.437870530392157,628.7574106078431
